,planning_area,subzone,region,tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi
213,YISHUN,YISHUN CENTRAL,NORTH REGION,10,0,6,0,25,1,0,4,0,0,0,0.06660613000905037,0.1493256433332767,0.22516589344142543
214,PASIR RIS,PASIR RIS CENTRAL,EAST REGION,44,0,4,2,94,4,0,5,0,0,0,0.07902430810119858,0.1559405510146007,0.24040632709062817
215,BUKIT BATOK,GOMBAK,WEST REGION,162,0,13,1,68,3,0,2,0,0,0,0.08557816207073783,0.21021631597659132,0.35097721182584696
216,PAYA LEBAR,PAYA LEBAR NORTH,EAST REGION,17,0,39,5,65,6,0,1,0,0,0,0.08717970477137292,0.17806736078866103,0.2801764591488202
217,HOUGANG,HOUGANG EAST,NORTH-EAST REGION,19,0,4,0,56,1,0,7,0,0,0,0.07298498818497598,0.1609105324432363,0.2596086164934265
218,HOUGANG,LORONG HALUS,NORTH-EAST REGION,86,0,28,1,12,2,0,7,0,0,0,0.08784555133488792,0.20241139776721068,0.3333038725129501
219,HOUGANG,KANGKAR,NORTH-EAST REGION,14,0,3,1,79,1,0,8,0,0,0,0.08179058569911266,0.16934841897680333,0.2659115002257129
220,CHANGI,CHANGI WEST,EAST REGION,189,0,51,1,236,1,0,5,0,0,0,0.08992032822023377,0.1933091205723803,0.2977873890914631
221,QUEENSTOWN,HOLLAND DRIVE,CENTRAL REGION,11,0,1,0,34,3,0,0,0,0,0,0.08254350253657713,0.1619535204115416,0.23103755226130296
222,HOUGANG,HOUGANG WEST,NORTH-EAST REGION,16,0,4,0,114,1,0,0,0,0,0,0.07951676890510935,0.13538096397180188,0.19436607580913481
223,PAYA LEBAR,PAYA LEBAR WEST,EAST REGION,8,0,17,0,35,2,0,1,0,0,0,0.09011593029575653,0.21295791314401,0.3435209970035026
224,BUKIT PANJANG,BANGKIT,WEST REGION,23,0,2,0,52,1,0,0,0,0,0,0.06920755247509226,0.18261596178524203,0.29143025695461117
225,SENGKANG,LORONG HALUS NORTH,NORTH-EAST REGION,72,0,6,1,9,0,0,8,0,0,0,0.08673102024190482,0.22429214422312957,0.3629525417009023
226,CHOA CHU KANG,PENG SIANG,WEST REGION,13,0,5,0,70,1,0,1,0,0,0,0.07057100677159191,0.1704971194703597,0.2752134784798543
227,PASIR RIS,PASIR RIS WEST,EAST REGION,41,0,2,1,117,1,0,1,0,0,0,0.08080984831072217,0.16725302002916362,0.26219969835136947
228,ANG MO KIO,YIO CHU KANG WEST,NORTH-EAST REGION,15,0,1,0,69,2,0,1,0,0,0,0.0836503580983786,0.15707544352009878,0.23503613424427972
229,CHANGI,CHANGI POINT,EAST REGION,60,0,8,0,21,1,0,13,0,0,0,0.08604001810182416,0.1778418849539649,0.32401464114455614
230,SENGKANG,SENGKANG TOWN CENTRE,NORTH-EAST REGION,18,0,3,0,127,1,0,0,0,0,0,0.05784536120354253,0.1327097537202864,0.20509888765538387
231,SENGKANG,ANCHORVALE,NORTH-EAST REGION,20,0,11,0,113,1,0,7,0,0,0,0.06471889436026189,0.1451750015003314,0.22639321895106587
232,SENGKANG,SENGKANG WEST,NORTH-EAST REGION,60,0,57,1,37,14,0,0,0,0,0,0.10067449434836907,0.19279046263363436,0.28589114872321675
233,SENGKANG,FERNVALE,NORTH-EAST REGION,62,0,29,1,135,9,0,7,0,0,0,0.07566475324392635,0.1636152703265971,0.24639033854984646
234,PUNGGOL,PUNGGOL FIELD,NORTH-EAST REGION,21,0,15,1,98,1,0,6,0,0,0,0.0698104079035233,0.14500031372260644,0.21547466889287806
235,CHOA CHU KANG,YEW TEE,WEST REGION,15,0,2,0,74,1,0,3,0,0,0,0.06515944730253419,0.15586591190211613,0.22560046895674785
236,PASIR RIS,PASIR RIS WAFER FAB PARK,EAST REGION,203,0,129,2,79,27,0,95,1,0,0,0.0888037725006573,0.1887978988207723,0.28366577625684664
237,HOUGANG,TRAFALGAR,NORTH-EAST REGION,36,0,8,1,132,1,0,1,0,0,0,0.08069157230118267,0.14925109038446022,0.21248210241468213
238,CHOA CHU KANG,TECK WHYE,WEST REGION,22,0,9,0,71,1,0,1,0,0,0,0.06801641122976841,0.1641644460057981,0.23930685612011185
239,CHOA CHU KANG,CHOA CHU KANG CENTRAL,WEST REGION,25,0,11,0,74,2,0,0,0,0,0,0.06471673024100297,0.16455086702609248,0.2515370402256203
240,BUKIT PANJANG,FAJAR,WEST REGION,13,0,3,0,52,1,0,0,0,0,0,0.06991706847035047,0.17281336597512412,0.24953793586838352
241,BUKIT PANJANG,SENJA,WEST REGION,14,0,2,1,48,1,0,1,0,0,0,0.07146213779129451,0.16433828558896105,0.24011451876144776
